id,text
7,恭順と逸脱に揺れて
7,新しいからおもしろい
7,抽象と具体の懸け橋として生きた男の軌跡
7,未来は「いま」からできている
7,立ち止まるな、進め、具体へ
7,受容のその先を、迎えに行ってみた
7,昨日と違う、今日、そして明日の創造
7,恭順、抵抗、そして新しさへ
7,闇の中に浮かび上がる光
7,その見つめる先に何がある!?
7,女:様々な姿
7,色彩と闇の対峙
7,キャンバスの女
7,そこにいるのは女か
7,肢体と色彩
7,差し込まない光
7,あなたが見た女
7,女たちが落とす影
7,幻の女たちの形象
7,家・光・そして女
7,日本人が歩んだはずの過去
7,歴史にうずもれた幻の作品
7,幻の画家・長谷眞次郎
7,静態と動態
7,あなたの祖父母が生きた時代
7,西洋と日本芸術のの混血児
7,底に青
7,女たちが見つめる先
7,あなたは今日、彼の作品に恋をする。
7,その視線はなにをみつめるか。
7,枠を飛び越える個性。
7,静けさのなかの輝き。
7,作品に虜になるその一瞬を体験しないか。
7,理性を忘れる瞬間。
7,あなたの心が今日、つかまれる。
7,理性と感情の中和点。
7,あなたが見るのはもはや絵ではない。
7,過去と現在をつなぐ架け橋。
7,長谷眞次郎の仲間になろう。
7,感情では語れない感動。
7,我々はなぜ生きるのか。
7,なぜかみていたい一枚。
7,我あり。ゆえに我問う。
7,言語の限界がそこにある。
7,ああ、愛しい。
7,現実なのか、夢なのか。
7,悲しみの輝き。
7,あふれ出るその思い。君は受け止められるだろうか。
3,あなたはこの画家を知らない。
3,スマホでは見れない世界が、ここにある。
3,たまには無名画家の絵をかざる美術館をのぞいてみないか。
3,具体と抽象の融合
3,有名画家の絵だけが素晴らしい絵なのか。
3,WHO  IS  ，ハセシンジロウ ?
3,非日常への招待状
3,戦前、そして戦後、時代の転換期を過ごした一人の画家の物語。
3,調べたってみつからない。ここでなければ味わえない。
3,謎につつまれた画家、長谷眞次郎。発掘ほやほやの世界をご紹介。
3,こんな絵を描く日本人がいるのに知らないなんてもったいない。
3,この絵をみてほしい、しってほしい、ただそれだけです。
3,ー阪神間モダニズムと具体美術ー要は見ていただければわかります。
3,有名画を見飽きたあなたへ
3,生誕100年にしてようやく注目。解明された謎、紹介します。
3,たまには知らない人の絵だっていいじゃないか
3,絶対知らない世界がここにある
3,無知、無名からの脱却の第一歩
3,あるいみ最先端。研究は始まったばかり。普通の展示とはわけが違う。
3,戦前と戦後を生き、そしてようやく今注目され始める。そんな風変わりなとある無名画家の生誕100年記念展示。
6,幻の洋画家 長谷眞次郎展
6,知られざる巨匠 長谷眞次郎展
6,長谷眞次郎展 日本初の前衛芸術を打ち立てた、幻の洋画家
6,長谷眞次郎展 -戦争、西洋、芸術-
6,日本発!謎の「具体」美術を探れ! 長谷眞次郎展
6,関西が生んだ謎の洋画家 長谷眞次郎展
6,長谷眞次郎展 愛ゆえに幻となった作品たち
6,長谷眞次郎展 阪神間モダニズムと具体美術の間で
6,日本の前衛芸術で西洋に挑んだ洋画家 長谷眞次郎展
6,画家:長谷眞次郎画風:洋画。具象/抽象いずれも。入選歴:数多く。作品数:不明。代表作:不明。
6,未知の洋画家 長谷眞次郎展
6,長谷眞次郎 西洋に挑んだ幻の洋画家
6,脱西洋のオリジナリティ「具体美術」の先駆者 長谷眞次郎展
6,きらびやかさと独創性 長谷眞次郎展
6,誰も知らない、日本の前衛芸術の原点。幻の洋画家 長谷眞次郎展
6,「具体美術」の幻の巨匠 長谷眞次郎展
6,誰も知らない謎の洋画家 長谷眞次郎展
6,消えた具体美術の先駆者 長谷眞次郎展
6,長谷眞次郎 謎の生涯、幻の作品
6,長谷眞次郎展 ベールが今、はがされる。
7,具体と抽象の狭間
7,未知の発掘
7,自分だけの絵を見つけよう
7,具体から抽象への変遷
7,時代と生きてきた絵達
7,絵で時を遡ろう
7,女、とは
7,見て、感じて、想起する
7,考えよう、『女性』とは何か
7,君は何を感じるか
7,絵に正解なんてない
7,長谷眞次郎とは—
7,戦前と戦後、具象と抽象
7,時代に埋もれた画家、長谷眞次郎
7,君はなにを見ているのか
7,絵の、止まった時間が、動き出す
7,時代の変化は、彼に何を与えたか
7,絵に想いをのせて
7,絵で、時を見よう
7,主体的に、見る
1,戦争を駆け抜けた作品たち
1,戦争を超えて切り開かれたものとは。
1,この世界を体感せよ。
1,リラックスしている場合じゃない!
1,戦争を超えた作品にきっとあなたは震撼する...
1,長谷はこうして進化する
1,戦争を超えた作品たちを見たくはありませんか?
1,最後、きっと優しい気持ちになれる。
1,今、世界の注目を浴びる作品とは。
1,戦争を超えた1人の画家の作歴。
1,戦争を挟む作品にきっとあなたは衝撃を受ける。
1,世界から再注目される熱き画家の作品たち。
1,戦争を超えた長谷の思いに今こそ目を向けるとき!
1,戦争を挟み、日本の画家は何を表現したのか。
1,長谷の思いに、きっとあなたは熱くなる。
1,戦争を生き抜いた画家、長谷の見つめたものとは。
1,知っていますか?今世界の注目を浴びる日本のアートを
1,戦争を生き抜いた長谷の世界を、見つめてみませんか?
1,彼が見つめ続けた世界とは。
1,戦争を生き抜いた1人の画家の物語。
5,激動の時代を駆け抜けた画家
5,阪神間モダニズムの世界へ
5,週末は、スマホじゃなくて絵を観よう
5,大正、そして昭和の美術。
5,気がついたら、惹きこまれてた
5,未発掘の画家、長谷眞次郎。
5,週末はタイムスリップしてみよう
5,ピカソやゴッホはもう飽きた。
5,長谷眞次郎って、誰?
5,日本にだって、画家はいる。
5,デートの行き先は、未発掘の画家の美術館。
5,猛暑日は、スポーツするより美術の鑑賞
5,週末に、驚きを。
5,教科書の挿絵にはない、絵の魅力
5,47年間の積み重ねを、一日で体感する。
5,戦前、戦中、戦後に、その画家は何を思ったか?
5,画風の変遷、画家の心情。
5,絵画の世界に、浸ってみませんか?
5,想像力を、働かせろ。
5,その時画家は、何を思ってカンバスに向かったのか
6,現代抽象婦人の旋律
6,婦人の顔、婦人のこころ
6,現代婦人の変遷
6,現代女性の心に触れる
6,現代美術の萌芽
6,日本のピカソ展
6,その婦人の表情は何を訴えるのか
6,現代女性の人生
6,現代抽象画家ー長谷眞次郎
6,抽象ー無限の想像性
6,抽象、想像、創造
6,現代日本美術、回帰
6,現代婦人画家、長谷眞次郎展
6,現代婦人の心を紐解く
6,具象、抽象婦人の眼(まなこ)
6,現代日本美術の萌芽
6,抽象の深み、婦人の心
6,色、光、線は心
6,荒い画、繊細な心
6,その女性の顔は心を映す鏡である
2,ほとばしる悲しみの放恣の記録
2,恍惚と慟哭の彼岸
2,苛烈なる虚ろ
2,虚実を超えた静寂
2,虚空を穿つ肉体の波紋
2,厳然たる拒否でありいざない
2,虚無に濡れ、熱情に濡れ、
2,ひとしずくの光と春の残像
2,肉の芳香に紡がれしのすたるぢあ
2,曙光は眠りを冷ややかに照らしたるか
2,妖しくちぎれ、必然を結ぶ
2,非実在づけの冷ややかな眼差し
2,かすかな魂の震え
2,解き放たれたる絶望と放恣
2,悲しみに燦然と灯火は宿る
2,象牙のように天を向かん
2,ひとり離れたる魔性
2,日没のサンタルチア
2,狂気と孤独のモノクローム
2,真実の汗とともにこみ上げる光
8,抽象画...どんな顔を想像しますか???
8,眠る美女?その背景には何が!?
8,複雑な色彩 何色に見えますか?
8,裸で寝転ぶ婦人...その目は何を見る!?
8,長谷眞次郎 祝生誕100年!
8,戦争の世へと向かう中彼は何を思ったのか
8,幻の画家の絵画とは...?
8,具体画と抽象画の違い...どう考えますか?
8,実在するはずなのに集まらなかった幻の絵画ここに集結
8,長い戦争を経て絵に現れる大きな変化!?
8,華やかな関西アートの名のもとに活躍した男
8,ソファに転がる人間...その目の先には?
8,裸で立つ女性...画家の意図とは!?
8,白髪 女性 抽象画これ何してる?
8,机のうえにある何かを見る女いったい何がある??
8,数多くある裸体画・・・その違い なんだと思いますか?
8,座る女。いったい何をしているのか?
8,黒髪の男 何を考える???
8,なぜ長谷眞次郎抽象的に描くのか
8,表情の描かれていない女。何を考えているのか。
6,神秘的な女性たち
6,彼女を見ていると時間を忘れる
6,女性の魅力が溢れ出る
6,色使いの極み
6,抽象画の傑作ぞろい
6,きっと忘れられない女性たち
6,女性の描き方はいくらでもあった
6,変化する女性像
6,女性画の宝庫
6,息をのむ女性たちの姿
6,やっと発見された絵画たち
6,10人の女性があなたとの出会いを待っている
6,女性の姿はついにこのように描かれるまでに
6,見るほど不思議な長谷眞太郎の世界
6,言葉では表せない女性の世界
6,あなたの好みの女性がきっと見つかる
6,長谷眞太郎ー女性を描き続けた男ー
6,見終わった頃には、もう1度見たくなる
6,何度でもきてください。彼女たちは逃げません
6,必ず女性美を気づかせてくれる
2,日本洋画協会が推奨する絵画がここに復活
2,あの有名画家も絶賛した長谷眞次郎の名作が今ここによみがえる
2,長谷眞次郎の独特のタッチラインを用いた洋画を堪能あれ
2,流動的なせかいを生きるジャパニーズウーマンの美が鮮明に描かれている
2,激動の生涯を過ごした長谷眞次郎が贈る絶妙な人物画
2,豊富な情景をはらんだ女性の美が垣間見れる
2,長谷眞次郎の洋画の原点を振り返る
2,具象と抽象、そのどちらも網羅した長谷眞次郎の不朽の名作
2,薄暗い部屋にたたずむ女性たちは何を思うのか
2,長谷眞次郎が織りなす究極のコントラスト
2,近代的洋画を正確に体現することに成功した洋画とは
2,近代の女性たちの苦悩とはいったい
2,長谷眞次郎の独特の価値観で描かれた絶望に満ちた女性たち
2,戦乱の時期をたくましく生きる者たちの休息
2,ここでしか見れない長谷眞次郎の考える人物像
2,長谷眞次郎に描かれる様々な顔を持った女性たち
2,美の真理を長谷眞次郎の名作とともに熟考する
2,女性たちが見つめる先には
2,思い返せばいつの時代も女性は悩んでいた
2,近代洋画の完成体
3,わたしを探す時間
3,自分と向き合う場所がここにあります。
3,暗闇の中の華
3,華やかさのある時代に
3,さまざまな女性がいる世界への招待
3,時代とともに変化する女性たちの姿がここに
3,彼女たちのなかにはなにがあるのだろうか
3,ライフスタイルは人それぞれなもの。あなたはどのように過ごしたいですか。
3,華やかさの中に
3,長谷眞次郎が見た世界
3,拝啓、あなたは今どこにいますか
3,帰りを待つ女性たち
3,彼女たちの目線の先に何があるか気になりませんか
3,ここはどこ。わたしは誰。
3,世界の女性たち
3,10人の女性の物語
3,芸術運動の絵画への影響
3,独りの部屋
3,「自分」を探す女性たち
3,部屋の中にいる彼女
4,阪神間モダニズムから具体美術へ
4,その生涯が芸術の変遷を語る。
4,戦争に屈しなかった画家
4,戦前から戦後~激動の時代とともに生きた画家
4,戦前と戦後~二つの時代の架け橋
4,女性の美を追い求めて
4,ほんとに全部同じ画家!?驚くべき画風の変遷
4,謎に包まれた洋画家
4,謎多き洋画家~その生涯を紐解く
4,戦前の西洋への憧れ、戦後の独創性追求
4,彼こそが激動の時代の芸術の体現者だ。
4,私は戦争絵画は描かない~信念の画家、長谷眞次郎
4,未だ多くが明かされていない画家、その作品を一挙公開!
4,ここであなたは時代の変化の目撃者になる。
4,理想の女性美を求めて~長谷眞次郎、その生涯
4,まるで時代を映す鏡だ。~長谷眞次郎、変化する画風
4,七色の画風、長谷眞次郎
4,彼の作品を見れば全てが分かる!阪神間モダニズム、そして具体芸術へ
4,激動の時代を追体験する。
4,彼の生涯はあの時代そのものだ。
2,愛された幻を確認せよ
2,西洋への恭順と逸脱の橋は何色か
2,その目はなにを見ているのか知りに行こう
2,ついに明かされる眞次郎の愛情
2,1900年代前半の絵画と西洋
2,時間があるなら過去を感じよう
2,手放したくないほどの愛情を感じろ
2,誰よりも作品を愛した男長谷眞次郎
2,絵を通してみる阪神間モダニズム
2,幻の画家の世界は明確だった
2,誰も見てこなかった絵
2,なぜ、長谷眞次郎を知らないのか? それは彼が作品を愛したから
2,絵を鑑賞することは感情的なものだ
2,見ないことには未知の発見はない
2,この女性は、何を想い眠るのか
2,自尊ではない、作品への愛である
2,日本文化の中心:近畿でおこったモダニズム
2,Not迎合But橋渡し
2,西洋と日本の橋を担った絶妙なバランス感
2,隠れた名画を見逃すな
6,魅惑の色彩 引き込まれるこの世界に
6,なぜ女性はこれほど美しいのか
6,母性と愛情のぬくもりに浸る
6,沈黙を破る迫力。
6,我々の生まれた原点を見る
6,肌、はだ、ハダ魅惑の表情
6,揺れる表情に・・・はまる
6,women!women!women!
6,新たに見つける女性の魅力
6,初めて見る女の表情に戸惑うな
6,#女性の美
6,あふれる輝きを求めて 
6,きっとはまる長谷の世界
6,青と黒と赤と肌。
6,ねえ、俺のことも見てよ
6,体が私たちに語りかける
6,・・・なんて美しいんだ。君は。
6,女の美を新たに見つける旅へようこそ
6,魅力は語るものではない、見るものだ
6,見てわかる、来てわかる、女の魅力
6,半世紀以上の時を超え、新しさを見つける
6,埋没した女性たちが甦る
6,気怠さと、美しさと、その狭間で
6,無名画家が贈る、時を超えた女たち
6,貴方は彼女たちから、何を感じるのだろう?
6,戦争を境にした、女性への眼の移り変わり
6,仕草は、女性の美しさに影響するだろうか
6,描かれし、十人の女たち
6,女性たちの光と影
6,戦争前後の女性たち
6,女性の美しさか、人間の美しさか
6,誰も知らない画家とは
6,関西が生んだ、ある一人の男が描く、十人の女たち
6,貴方は彼を、何派と呼ぶのだろうか
6,一人の女性なのか、十人の女性たちなのか
6,明るさって、必要?
6,驚きはないが、新しい発見が、そこにはあるはず
6,いつ描かれたと思いますか?
6,いま、このような絵画を描く画家はいるだろうか?
6,長谷眞次郎   彼の目に映るものとは、何だったのか
10,物思う女性たち
10,時代と女性
10,十人の女性、それぞれの思い — 。
10,長谷眞次郎が描いた、10人の女性たち。
10,青、茶、白の女性の世界。
10,暗い部屋で一人の時、あなたは何を考えますか?
10,悩み多き女性たち
10,切なさあふれる美術展。あなたはどんな思いを読みとりますか?
10,長谷眞次郎の絵画、一挙公開!
10,くもった表情に隠された、それぞれの思いとは
10,長谷眞次郎の見た女性たち
10,女性と哀愁と美
10,光と暗闇、その中で女性たちは—。
10,一枚一枚の絵に描かれた、女性たちの人生
10,哀
10,傾けられた女性の顔、その表情から何を読みとりますか?
10,うつむく女性、その想いとは—。
10,10の失恋
10,女性の姿を長谷が描く
10,長谷と女性
3,具体と抽象の狭間に
3,阪神間モダニズムと具体美術に生きた画家
3,あなたの知らない画家に、会いに行きませんか?
3,西洋美術への憧れと反抗
3,一人の画家の、戦争を挟んだ物語
3,美術史に、埋もれてしまった一人の画家とその絵たち
3,激動の時代に生きた、とある画家の絵
3,戦前戦後、アートシーンの先端を走った男
3,知られざる、現代日本美術史を体現した画家
3,阪神が美術の中心だった時代に生きた幻の画家
3,時代に翻弄されたある一人の画家とその作品
3,阪神間モダニズムにおける西洋への憧憬と、具体美術における西洋への反抗と
3,時として、絵は文字以上にものを語る
3,女性を描き続けたある男の物語
